"","id","bin","taxon","NA","NA.1","ns","ofdeg","r","q","rms","gc","length"
"1","contig10018",51,"Prochlorococcus marinus MIT9303","Reverse",2511,0,-0.0685656730437342,-0.999997782622042,181.493180811204,0.0830415983815418,0.50179211469534,2511
"2","contig10022",11,"Bacillus halodurans C-125","Reverse",2498,0,-0.0690441523881047,-0.999982960036115,180.27727873724,0.230723148260867,0.425540432345877,2498
"3","contig10030",51,"Prochlorococcus marinus MIT9303","Reverse",2490,0,-0.0693433606253707,-0.999922963901408,180.745213332134,0.428668389605014,0.509236947791165,2490
"4","contig10064",41,"Thiobacillus denitrificans ATCC 25259","Forward",2174,0,-0.0888486220050148,-0.999910567355843,203.180289901684,0.516675912986872,0.668813247470101,2174
"5","contig10074",31,"Fake Bacteria","Forward",2731,0,-0.0763108959868973,-0.99997907661931,213.518393785595,0.308792392960111,0.659831563529843,2731
"6","contig10102",72,"Granulibacter bethesdensis CGDNIH1","Forward",2221,0,-0.0762029425668214,-0.999896802057943,175.947230434796,0.55691446737984,0.617739756866276,2221
"7","contig10152",61,"Mycoplasma arthritidis 158L3-1","Reverse",2996,0,-0.0892261059777542,-0.999827686273229,281.215234318191,1.13720196316037,0.313417890520694,2996
"8","contig10177",52,"Pelotomaculum thermopropionicum SI","Reverse",2935,0,-0.0705513319331893,-0.999932571673823,215.305514641359,0.480951748565638,0.515843270868825,2935
"9","contig10202",72,"Granulibacter bethesdensis CGDNIH1","Reverse",2577,0,-0.0743243479435538,-0.999990475944257,198.553126992133,0.167173923169284,0.59720605355064,2577
"10","contig10225",52,"Pelotomaculum thermopropionicum SI","Reverse",2308,0,-0.0718644746721071,-0.999965248334551,172.804371149243,0.316872253357709,0.546360485268631,2308
"11","contig10267",41,"Thiobacillus denitrificans ATCC 25259","Forward",2029,0,-0.0906216261846746,-0.999925889794994,188.635493552289,0.447956693406048,0.674716609167077,2029
"12","contig10327",72,"Granulibacter bethesdensis CGDNIH1","Forward",2901,0,-0.0780648423370852,-0.999935737994991,231.728546120632,0.588093260500781,0.63116166839021,2901
"13","contig10462",31,"Fake Bacteria","Forward",2471,0,-0.0754407326879261,-0.999679381770352,194.932837810052,1.08142413517181,0.662080129502226,2471
"14","contig10481",12,"Desulfitobacterium hafniense Y51","Reverse",2979,0,-0.0688800900599976,-0.999937284054378,216.211150470875,0.459795143637298,0.42732460557234,2979
"15","contig10497",31,"Fake Bacteria","Reverse",2938,0,-0.0763105906171364,-0.999948865004892,229.282923226849,0.453512318491272,0.65997277059224,2938
"16","contig10502",72,"Granulibacter bethesdensis CGDNIH1","Reverse",2938,0,-0.0725298862537167,-0.999577059451056,220.554401504934,1.24000364230209,0.595643294758339,2938
