"","id","bin","taxon","NA","NA.1","ns","ofdeg","r","q","rms","gc","length"
"1","contig10074",81,"Fake Bacteria","Forward",2731,0,-0.0765582942508078,-0.999980773764754,213.871366328485,0.296963404586159,0.659831563529843,2731
"2","contig10102",11,"Granulibacter bethesdensis CGDNIH1","Forward",2221,0,-0.0762478159998014,-0.999914173895551,175.93498897053,0.508174290698872,0.617739756866276,2221
"3","contig10112",61,"Thiobacillus denitrificans ATCC 25259","Forward",2692,0,-0.0907049634797505,-0.999779555877476,240.948957140566,1.02564075215555,0.673476968796434,2692
"4","contig10177",21,"Pelotomaculum thermopropionicum SI","Reverse",2935,0,-0.0709645953173694,-0.999973697490657,215.320519618109,0.302135688373662,0.515843270868825,2935
"5","contig10196",31,"Streptococcus gallolyticus UCN34","Reverse",2572,0,-0.0734205022499614,-0.999765488903709,200.904008427589,0.818117296542212,0.376749611197512,2572
"6","contig10202",11,"Granulibacter bethesdensis CGDNIH1","Reverse",2577,0,-0.074158303971853,-0.999987973571084,198.390754069774,0.187437037106483,0.59720605355064,2577
"7","contig10225",21,"Pelotomaculum thermopropionicum SI","Reverse",2308,0,-0.0719872337692918,-0.999945702873626,173.057092174705,0.3967641466851,0.546360485268631,2308
"8","contig10238",71,"Mycoplasma arthritidis 158L3-1","Reverse",2896,0,-0.0858072657471407,-0.999922814021732,249.93071274648,0.707464278227356,0.325621546961326,2896
"9","contig10267",61,"Thiobacillus denitrificans ATCC 25259","Forward",2029,0,-0.0907045495184152,-0.9999332650913,188.924708728473,0.425469443548085,0.674716609167077,2029
"10","contig10293",21,"Pelotomaculum thermopropionicum SI","Reverse",2689,0,-0.0712985688206243,-0.999950815825485,200.446597419637,0.380458069579782,0.527333581256973,2689
"11","contig10484",81,"Fake Bacteria","Reverse",2476,0,-0.0755822163232906,-0.999922660587232,194.165996316287,0.53331308526123,0.660743134087238,2476
"12","contig10497",81,"Fake Bacteria","Reverse",2938,0,-0.0756397543578455,-0.999855560486853,228.591497505413,0.755559509963983,0.65997277059224,2938
"13","contig10502",11,"Granulibacter bethesdensis CGDNIH1","Reverse",2938,0,-0.0718714809335043,-0.999953001582136,219.656603445656,0.409488801357785,0.595643294758339,2938
"14","contig10521",61,"Thiobacillus denitrificans ATCC 25259","Reverse",2109,0,-0.0922201464319204,-0.999943034201193,199.480976092693,0.415411875498823,0.683736367946894,2109
"15","contig10534",71,"Mycoplasma arthritidis 158L3-1","Reverse",2565,0,-0.0879697230054646,-0.999506306300731,234.825653427979,1.41858473729074,0.314230019493177,2565
"16","contig10539",81,"Fake Bacteria","Forward",2861,0,-0.0769041951516463,-0.999979314735731,225.136233129678,0.324151464877036,0.663404404054526,2861
