"","id","bin","taxon","NA","NA.1","ns","ofdeg","r","q","rms","gc","length"
"1","contig10022",71,"Bacillus halodurans C-125","Reverse",2498,0,-0.0689498494294913,-0.999953952797443,180.256298134106,0.378768913406898,0.425540432345877,2498
"2","contig10064",51,"Thiobacillus denitrificans ATCC 25259","Forward",2174,0,-0.0888188488392903,-0.999979869367875,203.036313543282,0.245036485665642,0.668813247470101,2174
"3","contig10074",91,"Fake Bacteria","Forward",2731,0,-0.0765582942508078,-0.999980773764754,213.871366328485,0.296963404586159,0.659831563529843,2731
"4","contig10102",32,"Granulibacter bethesdensis CGDNIH1","Forward",2221,0,-0.0762478159998014,-0.999914173895551,175.93498897053,0.508174290698872,0.617739756866276,2221
"5","contig10105",11,"Streptococcus gallolyticus UCN34","Forward",2385,0,-0.0794935362910928,-0.999832915092537,196.016221137763,0.693247467931868,0.362683438155136,2385
"6","contig10112",51,"Thiobacillus denitrificans ATCC 25259","Forward",2692,0,-0.0907049634797505,-0.999779555877476,240.948957140566,1.02564075215555,0.673476968796434,2692
"7","contig10202",32,"Granulibacter bethesdensis CGDNIH1","Reverse",2577,0,-0.074158303971853,-0.999987973571084,198.390754069774,0.187437037106483,0.59720605355064,2577
"8","contig10238",101,"Mycoplasma arthritidis 158L3-1","Reverse",2896,0,-0.0858072657471407,-0.999922814021732,249.93071274648,0.707464278227356,0.325621546961326,2896
"9","contig10267",51,"Thiobacillus denitrificans ATCC 25259","Forward",2029,0,-0.0907045495184152,-0.9999332650913,188.924708728473,0.425469443548085,0.674716609167077,2029
"10","contig1033",72,"Desulfitobacterium hafniense Y51","Forward",2022,0,-0.0667735386561052,-0.999874584698624,142.625634445473,0.427737588970209,0.451038575667656,2022
"11","contig10465",61,"Pelotomaculum thermopropionicum SI","Forward",2048,0,-0.0720512965704244,-0.999973176149358,153.631355983707,0.247674448828805,0.5087890625,2048
"12","contig10484",91,"Fake Bacteria","Reverse",2476,0,-0.0755822163232906,-0.999922660587232,194.165996316287,0.53331308526123,0.660743134087238,2476
"13","contig10497",91,"Fake Bacteria","Reverse",2938,0,-0.0756397543578455,-0.999855560486853,228.591497505413,0.755559509963983,0.65997277059224,2938
"14","contig10502",21,"Granulibacter bethesdensis CGDNIH1","Reverse",2938,0,-0.0718714809335043,-0.999953001582136,219.656603445656,0.409488801357785,0.595643294758339,2938
"15","contig10515",61,"Pelotomaculum thermopropionicum SI","Forward",2894,0,-0.0739862274889861,-0.999923899564606,224.298958330145,0.52832613355631,0.542156185210781,2894
"16","contig10521",51,"Thiobacillus denitrificans ATCC 25259","Reverse",2109,0,-0.0922201464319204,-0.999943034201193,199.480976092693,0.415411875498823,0.683736367946894,2109
"17","contig10534",101,"Mycoplasma arthritidis 158L3-1","Reverse",2565,0,-0.0879697230054646,-0.999506306300731,234.825653427979,1.41858473729074,0.314230019493177,2565
"18","contig10539",91,"Fake Bacteria","Forward",2861,0,-0.0769041951516463,-0.999979314735731,225.136233129678,0.324151464877036,0.663404404054526,2861
"19","contig10555",41,"Bacillus halodurans C-125","Reverse",2989,0,-0.0704679357433459,-0.999966492210976,215.037075120582,0.344978104840352,0.445299431247909,2989
"20","contig10559",91,"Fake Bacteria","Reverse",2985,0,-0.0779849284680772,-0.999957164809302,235.637843827842,0.430937561056131,0.665996649916248,2985
"21","contig10649",51,"Thiobacillus denitrificans ATCC 25259","Reverse",2406,0,-0.0898480113480325,-0.999870840924568,224.125157903166,0.79614970423738,0.677057356608479,2406
"22","contig1066",101,"Mycoplasma arthritidis 158L3-1","Forward",2381,0,-0.0872694292074342,-0.999508915136911,215.975189727391,1.49201097724256,0.319613607727845,2381
"23","contig10672",91,"Fake Bacteria","Forward",2363,0,-0.0761052638063511,-0.999947904464256,185.877175451299,0.420658551037925,0.657638595006348,2363
"24","contig10722",91,"Fake Bacteria","Forward",2099,0,-0.0763324024635199,-0.999887697916859,165.633494026739,0.48051141294188,0.66031443544545,2099
"25","contig1088",73,"Bacillus halodurans C-125","Forward",2275,0,-0.0675721637461053,-0.999501488920485,163.035822399503,0.971167442671926,0.457582417582418,2275
"26","contig10901",32,"Granulibacter bethesdensis CGDNIH1","Forward",2576,0,-0.075955017519187,-0.99996620535864,200.586773638278,0.368573345917199,0.616847826086957,2576
"27","contig10997",101,"Mycoplasma arthritidis 158L3-1","Forward",2811,0,-0.0919151469016093,-0.999754704783271,266.618901469659,1.31102962077428,0.307008182141587,2811
"28","contig11015",11,"Streptococcus gallolyticus UCN34","Reverse",2692,0,-0.0757573051291531,-0.99996710037627,208.688620282308,0.330882531889565,0.37964338781575,2692
"29","contig11057",101,"Mycoplasma arthritidis 158L3-1","Reverse",2373,0,-0.0904031531068201,-0.9997287176598,225.930552231982,1.14528709918363,0.299620733249052,2373
"30","contig11098",11,"Streptococcus gallolyticus UCN34","Forward",2075,0,-0.0774725267651463,-0.999921807692915,165.077081430827,0.402085466900839,0.375421686746988,2075
"31","contig11108",91,"Fake Bacteria","Forward",2852,0,-0.0774186614841586,-0.999962011730077,224.061868664744,0.384945368466123,0.663394109396914,2852
"32","contig11179",11,"Streptococcus gallolyticus UCN34","Forward",2369,0,-0.0764006451652377,-0.999978835435181,186.781670664505,0.235614454914757,0.387083157450401,2369
"33","contig11312",101,"Mycoplasma arthritidis 158L3-1","Forward",2450,0,-0.0852087591323846,-0.999899139863975,219.03432099098,0.593045408271619,0.321632653061225,2450
"34","contig11355",101,"Mycoplasma arthritidis 158L3-1","Forward",2914,0,-0.0849972479648547,-0.999919076618929,250.788347040576,0.630219995356628,0.327728208647907,2914
"35","contig11372",91,"Fake Bacteria","Forward",2690,0,-0.074826219301457,-0.999968829375993,209.52896790896,0.31785860812687,0.656133828996282,2690
"36","contig11388",73,"Bacillus halodurans C-125","Forward",2130,0,-0.067730634334497,-0.999973403536439,152.290557343139,0.210440996698214,0.453990610328639,2130
"37","contig11407",91,"Fake Bacteria","Reverse",2829,0,-0.0746538745245944,-0.999915440759529,218.163342896873,0.549530576734084,0.652173913043478,2829
"38","contig11438",101,"Mycoplasma arthritidis 158L3-1","Forward",2198,0,-0.0891954781965932,-0.999946795903215,203.467033226387,0.463444186403393,0.305732484076433,2198
"39","contig11451",51,"Thiobacillus denitrificans ATCC 25259","Reverse",2489,0,-0.0885493359437522,-0.999965994632242,227.474372764326,0.363675850945218,0.675371635194857,2489
"40","contig11466",71,"Bacillus halodurans C-125","Reverse",2780,0,-0.0681388560965664,-0.999937137809174,198.5842092504,0.424815017001931,0.429496402877698,2780
"41","contig11472",91,"Fake Bacteria","Forward",2537,0,-0.0764147629244086,-0.999959197781929,198.590646428456,0.350236406439044,0.659834450137958,2537
"42","contig1148",91,"Fake Bacteria","Forward",2988,0,-0.077451778412012,-0.999971905679323,238.394552420372,0.34698171610843,0.668005354752343,2988
"43","contig11741",101,"Mycoplasma arthritidis 158L3-1","Reverse",2124,0,-0.0900420506740068,-0.999942023658336,191.167618806433,0.411883750518995,0.317796610169492,2124
"44","contig11824",91,"Fake Bacteria","Reverse",2806,0,-0.0764597848613598,-0.999969400199829,219.525924787669,0.384571698793214,0.66143977191732,2806
"45","contig11845",73,"Bacillus halodurans C-125","Forward",2201,0,-0.0669934776881614,-0.99995391941078,154.86362653606,0.3242081103896,0.458882326215357,2201
"46","contig11873",91,"Fake Bacteria","Reverse",2454,0,-0.0760616674574306,-0.999885346817981,191.032607527747,0.565331552693063,0.656886715566422,2454
